City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
72,cabo san lucas,22.8909,-109.9124,87.51200000000006,65,20,0.89,MX,2023/11/09
73,punta arenas,-53.15,-70.9167,51.11600000000001,37,69,11.26,CL,2023/11/09
74,ayorou,14.7308,0.9174,87.60200000000007,10,100,3.59,NE,2023/11/09
75,gharyan,32.1722,13.0203,65.04800000000003,60,99,2.81,LY,2023/11/09
76,belomorsk,64.5232,34.7668,23.27000000000006,97,94,0.95,RU,2023/11/09
77,hithadhoo,-0.6,73.0833,80.58200000000002,81,74,3.35,MV,2023/11/09
78,vallenar,-28.5708,-70.7581,73.61600000000001,45,65,4.59,CL,2023/11/09
79,avarua,-21.2078,-159.775,77.05400000000006,83,96,5.14,CK,2023/11/09
80,vernon,50.2581,-119.2691,46.61600000000001,81,100,1.54,CA,2023/11/09
81,ghat,24.9647,10.1728,74.984,14,1,1.88,LY,2023/11/09
82,al qusayr,34.5091,36.5798,64.61600000000001,75,98,1.3,SY,2023/11/09
83,utrik,11.2278,169.8474,81.93200000000002,74,93,10.16,MH,2023/11/09
84,abagur,53.7308,87.2526,11.42600000000009,97,48,0.91,RU,2023/11/09
85,phu khiao,16.3765,102.1285,75.81200000000005,86,100,0.36,TH,2023/11/09
86,susuman,62.7833,148.1667,-23.331999999999972,99,89,0.24,RU,2023/11/09
87,queenstown,-31.8976,26.8753,56.912000000000056,83,0,2.02,ZA,2023/11/09
88,laojunmiao,39.8333,97.7333,32.54000000000002,37,100,1.08,CN,2023/11/09
89,blackmans bay,-43.0167,147.3167,57.32600000000009,96,30,1.18,AU,2023/11/09
90,khandyga,62.6667,135.6,-21.855999999999973,99,98,1.16,RU,2023/11/09
91,ilulissat,69.2167,-51.1,26.618000000000087,80,75,5.14,GL,2023/11/09
92,puerto armuelles,8.2833,-82.8667,87.78200000000001,84,73,3.13,PA,2023/11/09
93,polyarnyy,69.1989,33.4478,21.308000000000003,90,87,5.75,RU,2023/11/09
94,katsuura,35.1333,140.3,66.11000000000008,73,60,4.16,JP,2023/11/09
95,tam ky,15.5667,108.4833,75.2,91,93,1.41,VN,2023/11/09
96,conde,-7.2597,-34.9075,81.86000000000008,69,40,6.17,BR,2023/11/09
97,sao vicente,-23.9631,-46.3919,93.38000000000004,43,15,1.34,BR,2023/11/09
98,kununurra,-15.7667,128.7333,82.38200000000002,65,92,1.03,AU,2023/11/09
99,sohar,24.3643,56.7468,80.54600000000005,62,0,1.46,OM,2023/11/09
100,thompson,55.7435,-97.8558,22.838000000000044,63,69,3.18,CA,2023/11/09
101,newman,37.3138,-121.0208,67.04600000000005,38,100,1.94,US,2023/11/09
102,kuta,-8.7233,115.1723,80.54600000000005,88,40,3.13,ID,2023/11/09
103,flying fish cove,-10.4217,105.6791,78.47600000000008,88,75,2.57,CX,2023/11/09
104,cerveteri,41.9926,12.0924,58.748000000000026,76,100,5.8,IT,2023/11/09
105,urengoy,65.9667,78.3667,22.874000000000013,88,100,8.51,RU,2023/11/09
106,papao,-17.75,-149.55,83.87600000000009,84,18,6.82,PF,2023/11/09
107,port shepstone,-30.7414,30.455,66.66800000000009,80,79,0.29,ZA,2023/11/09
108,oleksandrivka,48.9634,32.2349,46.67000000000006,68,70,3.08,UA,2023/11/09
109,okhotsk,59.3833,143.3,-3.693999999999974,85,17,5.96,RU,2023/11/09
110,kapuskasing,49.4169,-82.4331,32.55800000000001,98,100,1.43,CA,2023/11/09
111,ribeira grande,38.5167,-28.7,70.19600000000005,88,75,8.94,PT,2023/11/09
112,klyuchi,52.2667,79.1667,38.69600000000005,93,85,3.11,RU,2023/11/09
113,baybay,10.6833,124.8333,78.92600000000009,86,91,1.83,PH,2023/11/09
114,leticia,-4.2153,-69.9406,80.65400000000005,89,40,2.06,CO,2023/11/09
115,mkushi,-13.6202,29.3939,70.21400000000003,70,21,3.06,ZM,2023/11/09
116,puerto ayora,-0.7393,-90.3518,84.16400000000003,95,73,7.15,EC,2023/11/09
117,afaahiti,-17.75,-149.2833,82.27400000000002,86,72,6.06,PF,2023/11/09
118,vila franca do campo,37.7167,-25.4333,68.41400000000003,99,31,5.25,PT,2023/11/09
119,auriflama,-20.6856,-50.5547,95.39600000000004,25,100,1.54,BR,2023/11/09
120,boradigah,38.9339,48.7038,51.83600000000007,66,92,1.77,AZ,2023/11/09
121,as salamiyah,35.0113,37.0532,66.63200000000002,59,100,2.9,SY,2023/11/09
122,mae ramat,16.984,98.5166,73.02200000000003,96,79,0.58,TH,2023/11/09
123,sidrolandia,-20.9319,-54.9614,93.88399999999999,32,77,2.74,BR,2023/11/09
124,jinan,36.6683,116.9972,39.21800000000009,41,7,3.96,CN,2023/11/09
125,carnarvon,-24.8667,113.6333,68.75600000000003,75,99,10.43,AU,2023/11/09
126,kiunga,-6.1219,141.2906,71.40200000000007,99,93,1.2,PG,2023/11/09
127,labytnangi,66.6572,66.4183,23.57600000000009,98,100,2.02,RU,2023/11/09
128,college,64.8569,-147.8028,35.54600000000005,89,100,5.14,US,2023/11/09
129,tanguieta,10.6212,1.2665,87.04400000000007,35,95,1.08,BJ,2023/11/09
130,ushuaia,-54.8,-68.3,51.458000000000006,36,75,8.23,AR,2023/11/09
131,puerto francisco de orellana,-0.4667,-76.9667,80.65400000000005,83,100,1.54,EC,2023/11/09
132,micheweni,-4.9667,39.8333,79.37600000000009,87,85,3.52,TZ,2023/11/09
133,kindu,-2.95,25.95,68.86400000000003,99,98,0.41,CD,2023/11/09
134,maitum,6.0392,124.4986,77.97200000000004,83,39,1.79,PH,2023/11/09
135,shahr-e babak,30.1165,55.1186,54.806000000000026,35,0,1.64,IR,2023/11/09
136,saudarkrokur,65.7461,-19.6394,27.554000000000052,82,90,3.47,IS,2023/11/09
137,vadso,70.0744,29.7487,28.562000000000058,86,100,6.69,NO,2023/11/09
138,champasak,14.75,106.0,73.65200000000007,99,100,0.88,LA,2023/11/09
139,fundao,-19.9341,-40.4047,80.13200000000002,50,2,1.93,BR,2023/11/09
140,prince rupert,54.3161,-130.3201,42.83600000000007,91,100,5.06,CA,2023/11/09
141,qaqortoq,60.7167,-46.0333,26.47400000000001,89,44,2.09,GL,2023/11/09
142,pemba,-12.974,40.5178,81.30200000000008,83,20,4.12,MZ,2023/11/09
143,new mirpur,33.1418,73.7674,63.05,63,32,1.94,PK,2023/11/09
144,carutapera,-1.195,-46.02,80.61800000000008,79,97,3.98,BR,2023/11/09
145,sinnar,13.5691,33.5672,86.41400000000003,47,67,1.34,SD,2023/11/09
146,aberdeen,57.1437,-2.0981,32.54000000000002,93,20,0.51,GB,2023/11/09
147,pokhara,28.2333,83.9833,59.19800000000002,69,9,2.4,NP,2023/11/09
148,tralee,52.2704,-9.7026,48.77600000000009,86,69,9.24,IE,2023/11/09
149,kampene,-3.6,26.6667,68.88200000000002,94,100,0.62,CD,2023/11/09
150,sibut,5.718,19.0739,73.94000000000003,92,99,0.8,CF,2023/11/09
151,lebu,-37.6167,-73.65,55.65200000000008,69,20,6.8,CL,2023/11/09
152,harpswell center,43.8018,-69.9842,36.21200000000006,79,100,3.3,US,2023/11/09
153,margaret river,-33.95,115.0667,56.030000000000044,66,100,4.22,AU,2023/11/09
154,karyes,37.3,22.5,56.19199999999999,93,25,1.21,GR,2023/11/09
155,anadyr,64.75,177.4833,18.104000000000052,79,0,5.0,RU,2023/11/09
156,kavaratti,10.5669,72.642,83.03000000000004,74,97,2.9,IN,2023/11/09
157,san antonio de pale,-1.4014,5.6325,78.44000000000003,80,25,6.52,GQ,2023/11/09
158,keflavik,64.0049,-22.5624,39.63200000000002,60,0,2.57,IS,2023/11/09
159,rexburg,43.826,-111.7897,42.42200000000004,58,20,4.63,US,2023/11/09
160,san miguel,13.4833,-88.1833,88.68200000000002,71,91,0.0,SV,2023/11/09
161,antofagasta,-23.65,-70.4,66.84800000000003,72,24,2.71,CL,2023/11/09
162,kenai,60.5544,-151.2583,32.09000000000002,94,100,7.72,US,2023/11/09
163,dzhubga,44.3211,38.7039,52.37600000000009,71,8,2.36,RU,2023/11/09
164,codrington,-38.2667,141.9667,50.81000000000008,87,17,2.31,AU,2023/11/09
165,ta`u,-14.2336,-169.5144,81.21200000000006,81,100,4.38,AS,2023/11/09
166,luwuk,-0.9516,122.7875,77.01800000000009,86,66,1.65,ID,2023/11/09
167,hatta,24.1167,79.6,70.98800000000004,44,0,0.95,IN,2023/11/09
168,bredasdorp,-34.5322,20.0403,59.05400000000005,79,0,2.51,ZA,2023/11/09
169,mejit,10.2753,170.8646,81.608,81,100,9.56,MH,2023/11/09
170,lazaro cardenas,17.9583,-102.2,85.38800000000005,71,8,3.72,MX,2023/11/09
171,happy valley-goose bay,53.3168,-60.3315,30.50600000000003,69,100,4.12,CA,2023/11/09
172,fuerte olimpo,-21.0415,-57.8738,101.31800000000008,27,100,1.61,PY,2023/11/09
173,ingeniero jacobacci,-41.3427,-69.5448,70.41200000000006,21,0,7.62,AR,2023/11/09
174,mayna,54.1135,47.6231,42.188000000000045,94,100,5.76,RU,2023/11/09
175,measham,52.7064,-1.5064,44.45600000000003,90,20,6.69,GB,2023/11/09
176,ha'il,27.5219,41.6907,68.01800000000009,42,0,2.06,SA,2023/11/09
177,ciudad lazaro cardenas,17.9583,-102.2,85.38800000000005,71,8,3.72,MX,2023/11/09
178,gebeit,21.0667,36.3167,75.65,51,20,1.43,SD,2023/11/09
179,arkalyk,50.2486,66.9114,40.1,82,100,5.91,KZ,2023/11/09
180,fort irwin,35.2627,-116.6848,62.42000000000006,15,0,4.63,US,2023/11/09
181,colonia menno,-22.3667,-59.8167,105.8,22,88,2.99,PY,2023/11/09
182,tbilisi,41.6941,44.8337,56.912000000000056,54,0,5.66,GE,2023/11/09
183,daru,-9.0763,143.2092,78.00800000000001,70,88,4.68,PG,2023/11/09
184,bako,5.7833,36.5667,64.25600000000003,77,11,2.05,ET,2023/11/09
185,xining,36.6167,101.7667,34.17800000000007,43,34,0.47,CN,2023/11/09
186,minot,48.2325,-101.2963,34.016000000000005,80,100,9.26,US,2023/11/09
187,ancud,-41.8697,-73.8203,56.06600000000001,61,2,3.3,CL,2023/11/09
188,kholmsk,47.0511,142.0569,49.24400000000007,96,100,8.88,RU,2023/11/09
189,hilo,19.7297,-155.09,85.28000000000004,80,23,4.02,US,2023/11/09
190,qamdo,31.1667,97.2333,25.160000000000082,41,100,0.45,CN,2023/11/09
191,boca do acre,-8.7522,-67.3978,99.77000000000007,31,83,1.04,BR,2023/11/09
192,bovalino,38.149,16.174,67.33399999999999,78,90,1.96,IT,2023/11/09
193,vorgashor,67.5833,63.95,30.272000000000038,95,100,5.52,RU,2023/11/09
194,gourcy,13.2167,-2.35,86.48600000000008,28,100,3.34,BF,2023/11/09
195,newnham,-41.3833,147.1333,54.55400000000005,94,40,0.51,AU,2023/11/09
196,ola,59.5833,151.2833,-1.1019999999999754,85,4,4.64,RU,2023/11/09
197,yulinshi,38.2906,109.7494,28.94000000000002,25,99,4.79,CN,2023/11/09
198,devils lake,48.1128,-98.8651,33.908,79,100,10.8,US,2023/11/09
199,walvis bay,-22.9575,14.5053,61.088000000000044,83,63,1.96,NA,2023/11/09
200,guiren,33.6697,118.1889,46.88600000000007,50,100,7.25,CN,2023/11/09
201,ciudad madero,22.2667,-97.8333,85.04600000000005,83,75,5.73,MX,2023/11/09
202,ngawi,-7.4038,111.4461,78.09800000000003,79,100,1.7,ID,2023/11/09
203,porbandar,21.6422,69.6093,81.17600000000009,62,4,3.72,IN,2023/11/09
204,jayapura,-2.5333,140.7,79.98800000000004,86,97,2.62,ID,2023/11/09
205,atafu village,-8.5421,-172.5159,83.67800000000007,72,100,5.41,TK,2023/11/09
206,glace bay,46.1969,-59.957,43.25,83,100,6.71,CA,2023/11/09
207,tura,25.5198,90.2201,63.5,70,0,1.59,IN,2023/11/09
208,palikir - national government center,6.9248,158.1611,77.73800000000004,94,100,1.54,FM,2023/11/09
209,velikiye luki,56.34,30.5452,42.944000000000074,89,100,3.15,RU,2023/11/09
210,udachny,66.4167,112.4,10.454000000000054,84,100,1.45,RU,2023/11/09
211,turtas,58.9417,69.1325,31.712000000000057,93,100,1.08,RU,2023/11/09
212,sorong,-0.8833,131.25,78.17000000000006,86,64,2.32,ID,2023/11/09
213,bodden town,19.2833,-81.25,87.8,78,20,5.66,KY,2023/11/09
214,iskateley,67.6803,53.1512,33.02600000000009,100,100,4.02,RU,2023/11/09
215,whakatane,-37.9585,176.9854,60.89000000000002,71,9,2.24,NZ,2023/11/09
216,playa del ingles,27.7567,-15.5787,72.392,72,7,5.72,ES,2023/11/09
217,saint-philippe,-21.3585,55.7679,74.78600000000007,81,28,3.98,RE,2023/11/09
218,tiksi,71.6872,128.8694,3.1820000000000164,88,100,5.62,RU,2023/11/09
219,tangalle,6.024,80.7911,76.78399999999999,89,100,2.11,LK,2023/11/09
220,st. john's,47.5649,-52.7093,39.97400000000001,96,100,8.75,CA,2023/11/09
221,port macquarie,-31.4333,152.9167,63.89600000000005,84,100,6.43,AU,2023/11/09
222,nova sintra,14.8667,-24.7167,72.93200000000002,65,100,5.56,CV,2023/11/09
223,constantia,44.1833,28.65,47.08399999999999,47,0,1.3,RO,2023/11/09
224,kzyltu,53.6364,72.3414,41.791999999999994,91,100,5.64,KZ,2023/11/09
225,minas de marcona,-15.2119,-75.1103,65.37200000000004,67,67,4.09,PE,2023/11/09
226,belmonte,-15.8631,-38.8828,78.54800000000003,76,3,3.56,BR,2023/11/09
227,kerikeri,-35.2268,173.9474,60.11600000000001,64,89,1.8,NZ,2023/11/09
228,tonghae,37.5439,129.1069,57.61400000000003,75,100,3.35,KR,2023/11/09
229,likiep,9.8251,169.3107,82.13000000000004,81,100,9.94,MH,2023/11/09
230,kichmengskiy gorodok,59.9816,45.7854,38.94800000000002,80,100,4.02,RU,2023/11/09
231,hadibu,12.65,54.0333,79.32200000000003,78,16,4.18,YE,2023/11/09
232,port alfred,-33.5906,26.891,59.18000000000004,93,2,2.7,ZA,2023/11/09
233,tvoroyri,61.5556,-6.8111,46.814000000000036,82,86,9.62,FO,2023/11/09
234,manadhoo,5.7667,73.3833,81.158,77,100,0.69,MV,2023/11/09
235,tsiombe,-25.3,45.4833,74.192,63,85,4.2,MG,2023/11/09
236,gangtok,27.3333,88.6167,47.87600000000009,77,16,2.38,IN,2023/11/09
237,morondava,-20.2833,44.2833,78.22400000000002,80,79,4.64,MG,2023/11/09
238,anloga,5.7947,0.8973,82.25600000000003,78,38,5.24,GH,2023/11/09
239,vilyuchinsk,52.9306,158.4028,26.924000000000014,82,75,2.38,RU,2023/11/09
240,nabire,-3.3667,135.4833,75.00200000000008,92,42,1.41,ID,2023/11/09
241,brokopondo,4.75,-55.1667,92.60600000000002,45,21,1.33,SR,2023/11/09
242,kingston,17.997,-76.7936,85.24400000000007,83,41,2.08,JM,2023/11/09
243,comodoro rivadavia,-45.8667,-67.5,62.45600000000003,39,20,7.2,AR,2023/11/09
244,stornoway,58.2093,-6.3865,39.038000000000046,90,75,0.51,GB,2023/11/09
245,ardestan,33.3761,52.3694,61.03399999999999,39,0,1.04,IR,2023/11/09
246,guerrero negro,27.9769,-114.0611,77.14400000000008,35,0,2.32,MX,2023/11/09
247,mana,5.6592,-53.7767,83.58800000000005,70,74,4.85,GF,2023/11/09
248,pathein,16.7833,94.7333,73.86800000000008,84,100,2.3,MM,2023/11/09
249,yaren,-0.5472,166.916,84.18200000000002,80,98,7.55,NR,2023/11/09
250,roma,43.2128,-75.4557,47.73200000000001,94,100,5.66,US,2023/11/09
251,taksimo,56.3444,114.8794,2.048000000000023,85,77,1.4,RU,2023/11/09
252,ras al khaimah city,25.7895,55.9432,70.016,49,0,1.54,AE,2023/11/09
253,kurtamysh,54.9103,64.4319,35.564000000000036,73,100,3.13,RU,2023/11/09
254,ambad,19.6167,75.8,72.12200000000004,46,99,3.08,IN,2023/11/09
255,horta,38.5333,-28.6333,69.0260000000001,94,75,9.39,PT,2023/11/09
256,correntina,-13.3433,-44.6367,88.52000000000007,33,57,3.14,BR,2023/11/09
257,durban,-29.8579,31.0292,66.14600000000004,84,100,0.91,ZA,2023/11/09
258,coquimbo,-29.9533,-71.3436,60.458000000000006,82,100,4.33,CL,2023/11/09
259,szczebrzeszyn,50.695,22.9795,43.610000000000085,72,100,6.29,PL,2023/11/09
260,at-bashi,41.1702,75.8106,32.360000000000085,94,100,0.77,KG,2023/11/09
261,sitka,57.0531,-135.33,48.092,76,75,5.66,US,2023/11/09
262,lagoa,39.05,-27.9833,67.83800000000005,85,100,9.76,PT,2023/11/09
263,embi,48.8264,58.1442,43.64600000000005,77,100,3.98,KZ,2023/11/09
264,monte alegre,-2.0078,-54.0692,97.25,29,24,2.56,BR,2023/11/09
265,bolobo,-2.1667,16.2333,74.01200000000006,91,92,0.51,CD,2023/11/09
266,cles,46.3667,11.0333,44.72600000000009,100,100,0.23,IT,2023/11/09
267,egilsstadir,65.2653,-14.3948,35.51000000000008,87,75,6.69,IS,2023/11/09
268,kingisepp,59.3733,28.6134,42.38600000000007,87,100,2.42,RU,2023/11/09
269,lubuklinggau,-3.3,102.8667,76.17200000000004,75,98,0.54,ID,2023/11/09
270,enewetak,11.3474,162.3373,82.99400000000007,76,100,8.56,MH,2023/11/09
271,fiche,9.8,38.7333,49.11800000000009,63,58,3.01,ET,2023/11/09
272,lompoc,34.6391,-120.4579,79.79000000000002,48,0,7.72,US,2023/11/09
273,nguigmi,14.2495,13.1092,84.16400000000003,20,81,5.26,NE,2023/11/09
274,namibe,-15.1961,12.1522,68.93600000000006,79,50,2.5,AO,2023/11/09
275,yuto,-23.6434,-64.4719,83.44400000000007,54,90,3.13,AR,2023/11/09
276,byron bay,-28.65,153.6167,66.70400000000005,84,93,4.57,AU,2023/11/09
277,ciudad guayana,8.3533,-62.6528,93.52400000000002,59,100,2.75,VE,2023/11/09
278,san juan cosala,20.3,-103.3667,77.28800000000004,49,45,1.4,MX,2023/11/09
279,hammerfest,70.6634,23.6821,32.45,80,40,4.12,NO,2023/11/09
280,antsiranana,-12.2787,49.2917,76.766,87,8,3.68,MG,2023/11/09
281,fada,9.5667,8.3,73.88600000000007,62,74,0.59,NG,2023/11/09
282,lidkoping,58.5052,13.1577,42.81800000000008,96,100,1.26,SE,2023/11/09
283,berezovyy,51.6667,135.7,13.658000000000005,92,85,1.76,RU,2023/11/09
284,pisco,-13.7,-76.2167,70.016,78,75,5.14,PE,2023/11/09
285,tutoia,-2.7619,-42.2744,81.158,77,100,6.5,BR,2023/11/09
286,laguna,38.421,-121.4238,67.08200000000002,46,0,0.0,US,2023/11/09
287,saint-francois,46.4154,3.9054,51.242,83,100,3.6,FR,2023/11/09
288,kawambwa,-9.7915,29.0791,68.72000000000006,78,100,0.29,ZM,2023/11/09
289,bikenibeu village,1.3673,173.1241,84.16400000000003,84,40,0.0,KI,2023/11/09
290,tosontsengel,48.7567,98.2839,-1.2459999999999454,96,89,1.71,MN,2023/11/09
291,talcahuano,-36.7167,-73.1167,65.87600000000009,59,0,4.63,CL,2023/11/09
292,saldanha,-33.0117,17.9442,60.854000000000056,84,0,6.39,ZA,2023/11/09
293,sechura,-5.5569,-80.8222,79.68200000000002,53,57,7.28,PE,2023/11/09
294,qianzhou,28.3167,109.7167,60.530000000000044,91,100,3.41,CN,2023/11/09
295,shchuchinsk,52.9333,70.2,35.978000000000065,98,100,3.71,KZ,2023/11/09
296,tolanaro,-25.0319,46.9987,71.49199999999999,88,52,3.94,MG,2023/11/09
297,eno,62.8051,30.1542,30.488000000000046,98,99,1.16,FI,2023/11/09
298,kendari,-3.945,122.4989,74.44400000000007,93,48,0.88,ID,2023/11/09
299,lankaran,38.7543,48.8506,51.872000000000035,100,93,0.0,AZ,2023/11/09
300,smithers,54.7804,-127.1743,38.82200000000004,84,100,2.24,CA,2023/11/09
301,lido di ostia,41.7321,12.2765,59.05400000000005,62,20,6.17,IT,2023/11/09
302,aleksandrovsk-sakhalinskiy,50.8975,142.1561,26.564000000000032,92,100,5.57,RU,2023/11/09
303,brisas de zicatela,15.8369,-97.0419,86.52200000000003,58,20,2.06,MX,2023/11/09
304,zhaqsy,51.9083,67.3133,35.96000000000008,97,100,7.07,KZ,2023/11/09
305,chonchi,-42.6128,-73.8092,58.208000000000006,52,98,0.9,CL,2023/11/09
306,al jawf,29.5,38.75,73.25600000000003,29,0,4.09,SA,2023/11/09
307,ostersund,63.1792,14.6357,32.61200000000006,100,100,6.17,SE,2023/11/09
308,sur,22.5667,59.5289,79.53800000000004,62,0,2.43,OM,2023/11/09
309,santanyi,39.3546,3.1291,60.674000000000014,67,66,3.82,ES,2023/11/09
310,kalmunai,7.4167,81.8167,78.674,83,97,2.12,LK,2023/11/09
